,Islamabad,Lahore,Karachi,Peshawar,Hyderabad,Jehlum,Multan,Shewa,Quetta,Dera Ismail Khan,Cholistan
Islamabad,0.0,2.515258541382969,10.69811557331477,1.566117115671752,9.540085641649135,1.0257860644403356,3.835287583741276,2.5788815758792007,7.009329241803392,2.8289912623668565,4.038901447175956
Lahore,2.515258541382969,0.0,9.926418037237797,3.753669011780336,8.589486616789149,1.5211116461325238,3.1747267378468864,4.207348870137717,7.494857701784605,3.4436587113342054,2.6003718522549777
Karachi,10.69811557331477,9.926418037237797,0.0,10.18330496449949,1.4541483865135638,10.508122097216033,6.956545266869183,9.089055527566616,5.319915134661455,7.989260550298003,7.331529859449525
Peshawar,1.566117115671752,3.753669011780336,10.18330496449949,0.0,9.17200836949029,2.4667269832715535,3.8023098308791186,1.2504176722956186,5.921955170380813,2.246611568684717,4.427065628607737
Hyderabad,9.540085641649135,8.589486616789149,1.4541483865135638,9.17200836949029,0.0,9.267974653612292,5.731166879440871,8.157046737425821,4.998704357130958,6.935734822132976,5.989185167449739
Jehlum,1.0257860644403356,1.5211116461325238,10.508122097216033,2.4667269832715535,9.267974653612292,0.0,3.5516468771543073,3.245997592002979,7.295140248823186,3.0264604020122206,3.46383236459272
Multan,3.835287583741276,3.1747267378468864,6.956545266869183,3.8023098308791186,5.731166879440871,3.5516468771543073,0.0,3.2074377121355324,4.4961360310827025,1.7271921119979674,1.1670215979149632
Shewa,2.5788815758792007,4.207348870137717,9.089055527566616,1.2504176722956186,8.157046737425821,3.245997592002979,3.2074377121355324,0.0,4.674537716569341,1.4810926576966126,4.097103329601198
Quetta,7.009329241803392,7.494857701784605,5.319915134661455,5.921955170380813,4.998704357130958,7.295140248823186,4.4961360310827025,4.674537716569341,0.0,4.269119779690897,5.569532497436396
Dera Ismail Khan,2.8289912623668565,3.4436587113342054,7.989260550298003,2.246611568684717,6.935734822132976,3.0264604020122206,1.7271921119979674,1.4810926576966126,4.269119779690897,0.0,2.678241356963186
Cholistan,4.038901447175956,2.6003718522549777,7.331529859449525,4.427065628607737,5.989185167449739,3.46383236459272,1.1670215979149632,4.097103329601198,5.569532497436396,2.678241356963186,0.0
